"source_path"	"line"	"level"	"heading"
"课程记录\Games104\10-动画树、IK与表情.md"	"361"	"3"	"24. Animation Retargeting（动画重定向）"
"课程记录\Games104\10-动画树、IK与表情.md"	"365"	"3"	"25. Binding Pose（绑定姿势）"
"课程记录\Games104\10-动画树、IK与表情.md"	"369"	"3"	"26. Foot Skating / Ice Skating（滑步）"
"课程记录\Games104\10-动画树、IK与表情.md"	"373"	"3"	"27. Broken Case（异常姿势）"
"课程记录\Games104\10-动画树、IK与表情.md"	"377"	"3"	"28. Position Based Dynamics / PBD（基于位置动力学）"
"课程记录\Games104\10-动画树、IK与表情.md"	"381"	"3"	"29. Error Tolerance（误差容忍度）"
"课程记录\Games104\10-动画树、IK与表情.md"	"387"	"2"	"三、工程经验与避坑指南"
"课程记录\Games104\10-动画树、IK与表情.md"	"389"	"3"	"1. Blending 的坑：基础概念不清必写 Bug"
"课程记录\Games104\10-动画树、IK与表情.md"	"394"	"3"	"2. Additive Blending 要谨慎"
"课程记录\Games104\10-动画树、IK与表情.md"	"398"	"3"	"3. 与动画师（Artist）协作的经验"
"课程记录\Games104\10-动画树、IK与表情.md"	"403"	"3"	"4. IK 的踩坑点"
"课程记录\Games104\10-动画树、IK与表情.md"	"410"	"3"	"5. 引擎与工具链经验"
"课程记录\Games104\10-动画树、IK与表情.md"	"416"	"3"	"6. 课程组的反馈与社区运营"
"课程记录\Games104\10-动画树、IK与表情.md"	"426"	"2"	"四、Q&A 问答实录"
"课程记录\Games104\10-动画树、IK与表情.md"	"428"	"3"	"1. 有没有三维的 Blend Space？"
"课程记录\Games104\10-动画树、IK与表情.md"	"434"	"3"	"2. 面部表情是不是通过顶点动画做的？"
"课程记录\Games104\10-动画树、IK与表情.md"	"439"	"3"	"3. 动画领域最前沿的问题是什么？"
"课程记录\Games104\10-动画树、IK与表情.md"	"446"	"2"	"五、作业与实战建议"
"课程记录\Games104\11-高级物理系统.md"	"1"	"1"	"物理系统的高级应用：角色控制器、布娃娃、布料模拟、破坏系统与载具系统"
"课程记录\Games104\11-高级物理系统.md"	"5"	"2"	"一、核心知识点与原理剖析"
"课程记录\Games104\11-高级物理系统.md"	"7"	"3"	"1. Character Controller 角色控制器"
"课程记录\Games104\11-高级物理系统.md"	"82"	"3"	"2. Ragdoll 布娃娃系统"
"课程记录\Games104\11-高级物理系统.md"	"130"	"3"	"3. 布料模拟（Cloth Simulation）"
"课程记录\Games104\11-高级物理系统.md"	"215"	"3"	"4. 破坏系统（Destruction）"
"课程记录\Games104\11-高级物理系统.md"	"279"	"3"	"5. 载具系统（Vehicle）"
"课程记录\Games104\11-高级物理系统.md"	"344"	"3"	"6. PBD 与 XPBD（前沿物理方法）"
"课程记录\Games104\11-高级物理系统.md"	"396"	"2"	"二、重点术语与概念解析"
"课程记录\Games104\11-高级物理系统.md"	"398"	"3"	"1. Dynamic Object（动态物体）"
"课程记录\Games104\11-高级物理系统.md"	"402"	"3"	"2. Kinematic Actor（运动学物体）"
"课程记录\Games104\11-高级物理系统.md"	"406"	"3"	"3. Teleport（瞬移）"
"课程记录\Games104\11-高级物理系统.md"	"410"	"3"	"4. Sliding（沿墙滑动）"
"课程记录\Games104\11-高级物理系统.md"	"414"	"3"	"5. Stepping（上台阶）"
"课程记录\Games104\11-高级物理系统.md"	"418"	"3"	"6. Slope Limit（最大爬坡角）"
"课程记录\Games104\11-高级物理系统.md"	"422"	"3"	"7. Raycast（射线检测）"
"课程记录\Games104\11-高级物理系统.md"	"426"	"3"	"8. Ragdoll（布娃娃系统）"
"课程记录\Games104\11-高级物理系统.md"	"430"	"3"	"9. Joint Constraint（关节约束）"
"课程记录\Games104\11-高级物理系统.md"	"434"	"3"	"10. Animation Retargeting（动画重定向）"
"课程记录\Games104\11-高级物理系统.md"	"438"	"3"	"11. Physics Ragdoll / Animation-Physics Blending（动画物理混合）"
"课程记录\Games104\11-高级物理系统.md"	"442"	"3"	"12. Animated Bones（动画骨骼法布料）"
"课程记录\Games104\11-高级物理系统.md"	"446"	"3"	"13. Dynamic Bone（动力学骨骼）"
"课程记录\Games104\11-高级物理系统.md"	"450"	"3"	"14. Mesh-based Cloth Simulation（基于网格的布料模拟）"
"课程记录\Games104\11-高级物理系统.md"	"454"	"3"	"15. Physical Mesh（物理网格）"
"课程记录\Games104\11-高级物理系统.md"	"458"	"3"	"16. Spring-Mass Model（弹簧质点模型）"
"课程记录\Games104\11-高级物理系统.md"	"462"	"3"	"17. Damping（阻尼/衰减）"
"课程记录\Games104\11-高级物理系统.md"	"466"	"3"	"18. Verlet Integration（Verlet 积分）"
"课程记录\Games104\11-高级物理系统.md"	"470"	"3"	"19. Semi-implicit Euler（半隐式欧拉积分）"
"课程记录\Games104\11-高级物理系统.md"	"474"	"3"	"20. Self Collision（自碰撞/自穿插）"
"课程记录\Games104\11-高级物理系统.md"	"478"	"3"	"21. SDF（Signed Distance Field，符号距离场）"
"课程记录\Games104\11-高级物理系统.md"	"482"	"3"	"22. Destruction（破坏系统）"
"课程记录\Games104\11-高级物理系统.md"	"486"	"3"	"23. Chunk（碎片）"
"课程记录\Games104\11-高级物理系统.md"	"490"	"3"	"24. Hardness（硬度）/ Connection Value（连接权重）"
"课程记录\Games104\11-高级物理系统.md"	"494"	"3"	"25. Voronoi（沃罗诺伊分割）"
"课程记录\Games104\11-高级物理系统.md"	"498"	"3"	"26. Delaunay Triangulation（德劳内三角化）"
"课程记录\Games104\11-高级物理系统.md"	"502"	"3"	"27. Supporting Graph（支撑图）"
"课程记录\Games104\11-高级物理系统.md"	"506"	"3"	"28. Vehicle（载具系统）"
"课程记录\Games104\11-高级物理系统.md"	"510"	"3"	"29. Suspension（悬挂系统）"
"课程记录\Games104\11-高级物理系统.md"	"514"	"3"	"30. Torque（扭矩）"
"课程记录\Games104\11-高级物理系统.md"	"518"	"3"	"31. Differential（差速器）"
"课程记录\Games104\11-高级物理系统.md"	"522"	"3"	"32. Weight Transfer（重量转移）"
"课程记录\Games104\11-高级物理系统.md"	"526"	"3"	"33. Ackermann Steering Angle（阿克曼转向角）"
"课程记录\Games104\11-高级物理系统.md"	"530"	"3"	"34. PBD（Position Based Dynamics，基于位置的动力学）"
"课程记录\Games104\11-高级物理系统.md"	"534"	"3"	"35. XPBD（Extended Position Based Dynamics，扩展的基于位置的动力学）"
"课程记录\Games104\11-高级物理系统.md"	"538"	"3"	"36. Jacobian Matrix（雅可比矩阵）"
"课程记录\Games104\11-高级物理系统.md"	"542"	"3"	"37. Compliance Matrix（服从度矩阵）"
"课程记录\Games104\11-高级物理系统.md"	"546"	"3"	"38. Callback（回调）"
"课程记录\Games104\11-高级物理系统.md"	"552"	"2"	"三、工程经验与避坑指南"
"课程记录\Games104\11-高级物理系统.md"	"554"	"3"	"1. 课程学习方法论"
"课程记录\Games104\11-高级物理系统.md"	"558"	"3"	"2. 反馈与沟通渠道"
"课程记录\Games104\11-高级物理系统.md"	"563"	"3"	"3. Deterministic（确定性）问题的工程现实"
"课程记录\Games104\11-高级物理系统.md"	"567"	"3"	"4. 小引擎工程实践（0.06 版本更新）"
"课程记录\Games104\11-高级物理系统.md"	"573"	"3"	"5. 角色移动的手感定制"
"课程记录\Games104\11-高级物理系统.md"	"577"	"3"	"6. Halo 项目经验：门的尺寸"
"课程记录\Games104\11-高级物理系统.md"	"580"	"3"	"7. 物理与动画的边界"
"课程记录\Games104\11-高级物理系统.md"	"584"	"3"	"8. Damping 是黑科技"
"课程记录\Games104\11-高级物理系统.md"	"587"	"3"	"9. 布料权重刷与穿模"
"课程记录\Games104\11-高级物理系统.md"	"591"	"3"	"10. 破坏系统的""物理学吐槽"""
"课程记录\Games104\11-高级物理系统.md"	"595"	"3"	"11. 碎片不要参与逻辑结算"
"课程记录\Games104\11-高级物理系统.md"	"598"	"3"	"12. 音效/特效与物理系统的集成"
"课程记录\Games104\11-高级物理系统.md"	"603"	"3"	"13. 关于""物理越真实越好吗"""
"课程记录\Games104\11-高级物理系统.md"	"609"	"3"	"14. 物理引擎的并行与性能"
"课程记录\Games104\11-高级物理系统.md"	"614"	"3"	"15. 布娃娃鬼畜的原因（Q&A）"
"课程记录\Games104\11-高级物理系统.md"	"621"	"3"	"16. 爆炸与可破坏物体的交互（Q&A）"
"课程记录\Games104\11-高级物理系统.md"	"626"	"3"	"17. 参考资料惯例（Reference）"
"课程记录\Games104\11-高级物理系统.md"	"632"	"2"	"四、大作业（基于动画与物理的前四节课内容）"
"课程记录\Games104\11-高级物理系统.md"	"634"	"3"	"1. 作业背景"
"课程记录\Games104\11-高级物理系统.md"	"639"	"3"	"2. 基础作业：动画混合系统 + 动画状态机"
"课程记录\Games104\11-高级物理系统.md"	"644"	"3"	"3. 高级作业：Character Controller"
"课程记录\Games104\11-高级物理系统.md"	"654"	"2"	"五、重点公式汇总"
"课程记录\Games104\11-高级物理系统.md"	"656"	"3"	"1. 胡克定律（弹簧弹力）"
"课程记录\Games104\11-高级物理系统.md"	"660"	"3"	"2. 空气阻力（低速线性近似）"
"课程记录\Games104\11-高级物理系统.md"	"664"	"3"	"3. 半隐式欧拉积分"
"课程记录\Games104\11-高级物理系统.md"	"668"	"3"	"4. Verlet 积分"
"课程记录\Games104\11-高级物理系统.md"	"671"	"3"	"5. 匀速圆周运动的约束"
"课程记录\Games104\11-高级物理系统.md"	"674"	"3"	"6. 弹簧的约束"
"课程记录\Games104\11-高级物理系统.md"	"677"	"3"	"7. 弹簧势能（XPBD 类比）"
"课程记录\Games104\11-高级物理系统.md"	"680"	"3"	"8. XPBD 服从度矩阵（势能表达）"
"课程记录\Games104\11-高级物理系统.md"	"683"	"3"	"9. 破坏判定（冲量与硬度）"
"课程记录\Games104\12-粒子与音频系统.md"	"1"	"1"	"游戏引擎中的粒子系统与声效系统：从基础原理到工程实现"
"课程记录\Games104\12-粒子与音频系统.md"	"3"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\12-粒子与音频系统.md"	"5"	"3"	"1. 特效系统总览与粒子系统的历史"
"课程记录\Games104\12-粒子与音频系统.md"	"12"	"3"	"2. 粒子系统的基础构成：Particle、Emitter 与 System"
"课程记录\Games104\12-粒子与音频系统.md"	"44"	"3"	"3. 粒子模拟（Simulation）"
"课程记录\Games104\12-粒子与音频系统.md"	"58"	"3"	"4. 粒子的视觉形态：Billboard、Mesh 与 Ribbon"
"课程记录\Games104\12-粒子与音频系统.md"	"86"	"3"	"5. 透明物排序（Transparency Sorting）问题"
"课程记录\Games104\12-粒子与音频系统.md"	"97"	"3"	"6. 性能问题：Overdraw 与 Half Resolution 渲染"
"课程记录\Games104\12-粒子与音频系统.md"	"113"	"3"	"7. GPU 粒子系统：Particle Pool 与 Alive/Dead List"
"课程记录\Games104\12-粒子与音频系统.md"	"136"	"3"	"8. GPU 上的并行排序：Merge Sort 与缓存一致性"
"课程记录\Games104\12-粒子与音频系统.md"	"149"	"3"	"9. 基于深度缓冲的 GPU 粒子碰撞"
"课程记录\Games104\12-粒子与音频系统.md"	"156"	"3"	"10. 高级应用：Crowd 人群模拟与状态机粒子"
"课程记录\Games104\12-粒子与音频系统.md"	"174"	"3"	"11. 古典粒子系统与现代粒子系统（以 Niagara 为例）"
"课程记录\Games104\12-粒子与音频系统.md"	"191"	"3"	"12. 声学基础：音量、音调、音色与分贝"
"课程记录\Games104\12-粒子与音频系统.md"	"210"	"3"	"13. 数字音频：PCM、采样定理与音频格式"
"课程记录\Games104\12-粒子与音频系统.md"	"230"	"3"	"14. 3D 声音渲染：Listener 与声场空间感"
"课程记录\Games104\12-粒子与音频系统.md"	"253"	"3"	"15. 声音衰减（Attenuation）与遮蔽（Occlusion）"
"课程记录\Games104\12-粒子与音频系统.md"	"272"	"3"	"16. 混响（Reverb）与多普勒效应（Doppler Effect）"
"课程记录\Games104\12-粒子与音频系统.md"	"297"	"3"	"17. 声音中间件与游戏音频架构"
"课程记录\Games104\12-粒子与音频系统.md"	"318"	"2"	"二、 重点术语与概念解析"
"课程记录\Games104\12-粒子与音频系统.md"	"320"	"3"	"1. Particle（粒子）"
"课程记录\Games104\12-粒子与音频系统.md"	"324"	"3"	"2. Emitter（发射器）"
"课程记录\Games104\12-粒子与音频系统.md"	"328"	"3"	"3. System（粒子系统）"
"课程记录\Games104\12-粒子与音频系统.md"	"332"	"3"	"4. Billboard（公告板）"
"课程记录\Games104\12-粒子与音频系统.md"	"336"	"3"	"5. Mesh Particle（网格粒子）"
"课程记录\Games104\12-粒子与音频系统.md"	"340"	"3"	"6. Ribbon / Beam Particle（光带粒子）"
"课程记录\Games104\12-粒子与音频系统.md"	"344"	"3"	"7. Catmull-Rom Curve（卡特莫尔-罗姆曲线）"
"课程记录\Games104\12-粒子与音频系统.md"	"348"	"3"	"8. Overdraw（过度绘制）"
"课程记录\Games104\12-粒子与音频系统.md"	"352"	"3"	"9. Half Resolution（半分辨率渲染）"
"课程记录\Games104\12-粒子与音频系统.md"	"356"	"3"	"10. DLSS"
"课程记录\Games104\12-粒子与音频系统.md"	"360"	"3"	"11. Particle Pool（粒子池）"
"课程记录\Games104\12-粒子与音频系统.md"	"364"	"3"	"12. Alive List / Dead List（存活列表 / 死亡列表）"
"课程记录\Games104\12-粒子与音频系统.md"	"368"	"3"	"13. Compute Shader（计算着色器）"
"课程记录\Games104\12-粒子与音频系统.md"	"372"	"3"	"14. View Frustum Culling（视锥剔除）"
"课程记录\Games104\12-粒子与音频系统.md"	"376"	"3"	"15. Merge Sort（归并排序）"
"课程记录\Games104\12-粒子与音频系统.md"	"380"	"3"	"16. SDF（Signed Distance Field，带符号距离场）"
"课程记录\Games104\12-粒子与音频系统.md"	"384"	"3"	"17. State Machine（状态机）粒子"
"课程记录\Games104\12-粒子与音频系统.md"	"388"	"3"	"18. Niagara"
"课程记录\Games104\12-粒子与音频系统.md"	"392"	"3"	"19. Technical Artist（技术美术）"
"课程记录\Games104\12-粒子与音频系统.md"	"396"	"3"	"20. Decibel（分贝，dB）"
"课程记录\Games104\12-粒子与音频系统.md"	"400"	"3"	"21. Pitch（音调）"
"课程记录\Games104\12-粒子与音频系统.md"	"404"	"3"	"22. Timbre（音色）"
"课程记录\Games104\12-粒子与音频系统.md"	"408"	"3"	"23. PCM（Pulse Code Modulation，脉冲编码调制）"
"课程记录\Games104\12-粒子与音频系统.md"	"412"	"3"	"24. 香农采样定理（Shannon Sampling Theorem）"
"课程记录\Games104\12-粒子与音频系统.md"	"416"	"3"	"25. WAVE / FLAC / MP3 / OGG"
"课程记录\Games104\12-粒子与音频系统.md"	"420"	"3"	"26. Listener（听者）"
"课程记录\Games104\12-粒子与音频系统.md"	"424"	"3"	"27. Panning（声像定位）"
"课程记录\Games104\12-粒子与音频系统.md"	"428"	"3"	"28. Attenuation（声音衰减）"
"课程记录\Games104\12-粒子与音频系统.md"	"432"	"3"	"29. Occlusion（遮蔽）"
"课程记录\Games104\12-粒子与音频系统.md"	"436"	"3"	"30. Reverb（混响）"
"课程记录\Games104\12-粒子与音频系统.md"	"440"	"3"	"31. Doppler Effect（多普勒效应）"
"课程记录\Games104\12-粒子与音频系统.md"	"444"	"3"	"32. Middleware（中间件）"
"课程记录\Games104\12-粒子与音频系统.md"	"448"	"2"	"三、 工程经验与避坑指南"
"课程记录\Games104\12-粒子与音频系统.md"	"450"	"3"	"1. 新引擎命名与品牌（PICO）"
"课程记录\Games104\12-粒子与音频系统.md"	"455"	"3"	"2. 上期作业（动画系统）常见踩坑"
"课程记录\Games104\12-粒子与音频系统.md"	"461"	"3"	"3. 粒子系统设计经验"
"课程记录\Games104\12-粒子与音频系统.md"	"469"	"3"	"4. GPU 粒子系统实现要点"
"课程记录\Games104\12-粒子与音频系统.md"	"478"	"3"	"5. 音频工程经验"
"课程记录\Games104\12-粒子与音频系统.md"	"487"	"2"	"四、 Q&A 实战答疑"
"课程记录\Games104\12-粒子与音频系统.md"	"489"	"3"	"1. CPU 上写粒子系统是否适合用 ECS？"
"课程记录\Games104\12-粒子与音频系统.md"	"496"	"3"	"2. 粒子系统能否与动画系统、物理系统结合？"
"课程记录\Games104\12-粒子与音频系统.md"	"504"	"3"	"3. Crowd 粒子系统中用到的 SDF 是预计算的吗？"
"课程记录\Games104\13-引擎工具链基础.md"	"1"	"1"	"游戏引擎工具链（Engine Tool Chain）基础：GUI、数据序列化与插件体系"
"课程记录\Games104\13-引擎工具链基础.md"	"3"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\13-引擎工具链基础.md"	"5"	"3"	"1. 工具链在游戏引擎中的定位与核心价值"
"课程记录\Games104\13-引擎工具链基础.md"	"29"	"3"	"2. 工具链的基石一：GUI 系统"
"课程记录\Games104\13-引擎工具链基础.md"	"66"	"3"	"3. 工具链的基石二：数据序列化与反序列化（Load and Save）"
"课程记录\Games104\13-引擎工具链基础.md"	"110"	"3"	"4. 工具链的基石三：Asset Reference 与数据继承"
"课程记录\Games104\13-引擎工具链基础.md"	"132"	"3"	"5. 资产版本兼容性（Asset Version Compatibility）"
"课程记录\Games104\13-引擎工具链基础.md"	"147"	"3"	"6. 工具的鲁棒性：Undo/Redo 与 Command 系统"
"课程记录\Games104\13-引擎工具链基础.md"	"175"	"3"	"7. Schema 系统：从异构数据中提取共性"
"课程记录\Games104\13-引擎工具链基础.md"	"209"	"3"	"8. WYSIWYG（所见即所得）与编辑器架构"
"课程记录\Games104\13-引擎工具链基础.md"	"237"	"3"	"9. 插件系统（Plugin）与引擎平台化"
"课程记录\Games104\13-引擎工具链基础.md"	"249"	"2"	"二、 重点术语与概念解析"
"课程记录\Games104\13-引擎工具链基础.md"	"251"	"3"	"1. DCC（Digital Content Creation）"
"课程记录\Games104\13-引擎工具链基础.md"	"255"	"3"	"2. ACP（Asset Conditioning Pipeline）"
"课程记录\Games104\13-引擎工具链基础.md"	"258"	"3"	"3. GUI（Graphical User Interface）"
"课程记录\Games104\13-引擎工具链基础.md"	"262"	"3"	"4. Immediate Mode / Retained Mode"
"课程记录\Games104\13-引擎工具链基础.md"	"266"	"3"	"5. MVC（Model-View-Controller）"
"课程记录\Games104\13-引擎工具链基础.md"	"270"	"3"	"6. MVP（Model-View-Presenter）"
"课程记录\Games104\13-引擎工具链基础.md"	"274"	"3"	"7. MVVM（Model-View-ViewModel）"
"课程记录\Games104\13-引擎工具链基础.md"	"278"	"3"	"8. Serialization / Deserialization（序列化/反序列化）"
"课程记录\Games104\13-引擎工具链基础.md"	"282"	"3"	"9. Text 格式与结构化描述语言（XML / JSON / YAML）"
"课程记录\Games104\13-引擎工具链基础.md"	"286"	"3"	"10. Binary 格式 / FBX"
"课程记录\Games104\13-引擎工具链基础.md"	"290"	"3"	"11. Asset Reference（资产引用）"
"课程记录\Games104\13-引擎工具链基础.md"	"294"	"3"	"12. Instance / Definition（实例 / 定义）"
"课程记录\Games104\13-引擎工具链基础.md"	"298"	"3"	"13. Variant（变体）"
"课程记录\Games104\13-引擎工具链基础.md"	"302"	"3"	"14. Data Inheritance（数据继承）"
"课程记录\Games104\13-引擎工具链基础.md"	"306"	"3"	"15. Endianness（字节序）"
"课程记录\Games104\13-引擎工具链基础.md"	"310"	"3"	"16. Backward / Forward Compatibility（向后 / 向前兼容）"
"课程记录\Games104\13-引擎工具链基础.md"	"314"	"3"	"17. Protocol Buffers（protobuf）"
"课程记录\Games104\13-引擎工具链基础.md"	"318"	"3"	"18. Command Pattern（命令模式）"
"课程记录\Games104\13-引擎工具链基础.md"	"322"	"3"	"19. UUID（Universally Unique Identifier）"
"课程记录\Games104\13-引擎工具链基础.md"	"326"	"3"	"20. Schema（模式/描述结构）"
"课程记录\Games104\13-引擎工具链基础.md"	"330"	"3"	"21. AST（Abstract Syntax Tree，抽象语法树）"
"课程记录\Games104\13-引擎工具链基础.md"	"334"	"3"	"22. WYSIWYG（What You See Is What You Get）"
"课程记录\Games104\13-引擎工具链基础.md"	"338"	"3"	"23. Play In Editor / Play In World（PIE）"
"课程记录\Games104\13-引擎工具链基础.md"	"342"	"3"	"24. Plugin / Plugin Manager（插件 / 插件管理器）"
"课程记录\Games104\13-引擎工具链基础.md"	"346"	"3"	"25. 弧度 / 欧拉角"
"课程记录\Games104\13-引擎工具链基础.md"	"350"	"2"	"三、 工程经验与避坑指南"
"课程记录\Games104\13-引擎工具链基础.md"	"352"	"3"	"1. 小引擎 API 选型：为什么选 Vulkan 而不是 OpenGL/DX11"
"课程记录\Games104\13-引擎工具链基础.md"	"358"	"3"	"2. 物理引擎选型：为什么接 Jolt"
"课程记录\Games104\13-引擎工具链基础.md"	"363"	"3"	"3. 小引擎环境搭建与 CMake"
"课程记录\Games104\13-引擎工具链基础.md"	"367"	"3"	"4. 工具链开发的通用工程建议"
"课程记录\Games104\13-引擎工具链基础.md"	"374"	"3"	"5. 版本兼容性的坑与推荐做法"
"课程记录\Games104\13-引擎工具链基础.md"	"378"	"3"	"6. 游戏引擎团队是""背锅侠"""
"课程记录\Games104\13-引擎工具链基础.md"	"383"	"3"	"7. Q&A：工具链开发需要的能力是什么"
"课程记录\Games104\13-引擎工具链基础.md"	"388"	"3"	"8. Q&A：用 Web 前端做工具链的多不多"
"课程记录\Games104\13-引擎工具链基础.md"	"393"	"3"	"9. Q&A：协同编辑（Collaborative Editing）的实现现状与展望"
"课程记录\Games104\13-引擎工具链基础.md"	"399"	"3"	"10. 社区答疑与课程目标"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"1"	"1"	"引擎工具链高级概念与应用：World Editor、Plugin 架构、反射系统与协作式编辑"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"5"	"2"	"一、核心知识点与原理剖析"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"7"	"3"	"1. 游戏生产（Production）全景与工具链的基本挑战"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"32"	"3"	"2. World Editor（地图编辑器）架构：作为 Hub 的平台"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"93"	"3"	"3. World Editor 的核心编辑功能"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"142"	"3"	"4. Plugin 架构设计"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"175"	"3"	"5. 线性叙事系统：Sequencer 与 Timeline"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"208"	"3"	"6. 反射系统（Reflection）与 Gameplay"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"261"	"3"	"7. 协作式编辑（Collaborative Editing）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"307"	"2"	"二、重点术语与概念解析"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"309"	"3"	"1. WYSIWYG"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"313"	"3"	"2. Genre"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"317"	"3"	"3. Editor Mode"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"321"	"3"	"4. Editor Only 代码"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"325"	"3"	"5. Gadget"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"329"	"3"	"6. Content Browser"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"333"	"3"	"7. Height Field / Height Brush"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"337"	"3"	"8. Instance Brush"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"341"	"3"	"9. Rule System（规则系统）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"345"	"3"	"10. Deterministic / Locality"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"349"	"3"	"11. Plugin 协作模型"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"353"	"3"	"12. Sequencer / Track / Keyframe / Sequence"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"357"	"3"	"13. Reflection（反射）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"361"	"3"	"14. Schema"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"365"	"3"	"15. AST（Abstract Syntax Tree，抽象语法树）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"369"	"3"	"16. Clang"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"373"	"3"	"17. Mustache"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"377"	"3"	"18. Accessor（get / set / invoke）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"381"	"3"	"19. Code Generation（代码生成）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"385"	"3"	"20. Visual Scripting"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"389"	"3"	"21. Blueprint"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"393"	"3"	"22. Command（命令）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"397"	"3"	"23. OT（Operational Transform）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"401"	"3"	"24. CRDT（Conflict-free Replicated Data Type）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"405"	"3"	"25. OFPA（One File Per Actor）"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"409"	"3"	"26. DCC"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"413"	"3"	"27. PGC / PCG"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"417"	"3"	"28. P4 / SVN"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"421"	"3"	"29. String ID"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"425"	"3"	"30. Novelty"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"429"	"3"	"31. Intermedia Format"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"433"	"3"	"32. MVVM"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"439"	"2"	"三、工程经验与避坑指南"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"441"	"3"	"1. 开课 Q&A 与课程决策"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"454"	"3"	"2. 引擎与 World Editor 架构避坑"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"463"	"3"	"3. 编辑器开发与工具链实战经验"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"479"	"3"	"4. 协作式编辑的实践经验"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"488"	"3"	"5. 职业发展与架构心法"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"495"	"3"	"6. 结课 Q&A"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"509"	"2"	"四、本期作业：开放性命题——打通""资产 → 反射/Schema → 编辑器""链路"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"511"	"3"	"1. 作业背景与目标"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"520"	"3"	"2. 作业示例"
"课程记录\Games104\14-世界编辑器、插件与反射.md"	"528"	"3"	"3. 提交方式与支持"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"1"	"1"	"游戏引擎 Gameplay 玩法系统基础：事件系统、脚本系统、可视化脚本与 3C 系统"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"5"	"2"	"一、 核心知识点与原理剖析"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"7"	"3"	"1. Gameplay 玩法系统的定位与挑战"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"31"	"3"	"2. 事件系统（Event System）：GameObject 间通信的基础"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"80"	"3"	"3. Event Queue 的固有缺陷与对策"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"93"	"3"	"4. 脚本系统（Scripting System）：玩法的书写方式"
"课程记录\Games104\15-Gameplay、脚本与3C.md"	"146"	"3"	"5. 可视化脚本（Visual Scripting）：面向设计师与艺术家的编程"
